text,labels,ID
"#escort We have a young and energetic team and we pride ourselves on offering the highes #hoer 
",1,1
"RT @chrisashaffer: Went to SSC today to be a ""movie star"" to rep for the Deaf and got to meet an energetic great guy: Mark White! 
",1,2
"RT @babeshawnmendes: ""that was really energetic"" 
",1,3
"RT @deepikapadukone: To my most hard working,fun loving and energetic team...Thank you and I love you! 
",1,4
"Look at their Photo and feel the #Anger. #SpeakUp for #peace. Speak up for #equality. Speak up for #Tolerance. 
",1,5
"@ArrivaTW absolute disgrace two carriages from Bangor half way there standing room only #disgraced 
",0,6
"RT @Dthompsonsmile: So proud of these kids! Not only talented, ENERGETIC and hardworking, but respectful and kind-hearted! ?? 
",1,7
"RT @cosy_cosy: What does everybody think of these candles from Liberty London. We love! RT if you feel the same #Valentinesday 
",1,8
"I can't even tell you guys how much I love these covers ? @Melissa_Landers #invaded #alienated #prettycovers 
",1,9
"Awesome record. Keepin the night energetic ?? 
",1,10
"RT @VenusCaelestis: You are a #manifestation of energetic potential. #truth #quote #DivineSociety 
",1,11
"Love to party? We're hiring fun, outgoing, energetic & happy people. Call or visit us to learn more. 
",1,12
"Thank you to Eastwood 8th grader Sam L. for helping hang 7th grade #SafeDates Valentines Day cards. #Caring 
",1,13
"Enraged by this? Then spread awareness! Loyalty...betrayed... #StopYulin2015 
",0,14
"I am enthusiastic about Gleeeeeeeeeeeeeeeeeeee???? 
",1,15
"@ipaca_official @NTChoir great valentines treat singing all day with fellow enthusiastic teachers :-) 
",1,16
"RT @TweetLikeAGirI: rt to save a life 
",1,17
"RT @Timmindie: This is so important 
",1,18
"RT @Footy_Jokes: Mario finally has a smile on his face! 
",1,19
"RT @EuropiannChick: My sisters the real MVP ?? #ValentinesDay 
",1,20
"RT @MADBLACKTHOT: Crazy? She didn't lie RT @ImaniTsunami: this is legit crazy :/ 
",1,21
"RT @olumayungbe: The next President of our beloved Nigeria. My friend, Ebullient GMB. Buhari . 
",1,22
"Even a packed Edinburgh to Glasgow evening train is fun in the company of ebullient art writer, Anne Ellis. 
",1,23
"The beautiful and radiant sight of Hull City's stadium awaiting the arrival of #avfc ;) #Creepy #Bleak 
",1,24
"I couldn't be more ecstatic today. I have been waiting 8 years for 101 Dalmatians to release from the Disney Vault! 
",1,25
"RT @TabithaThomas95: ECSTATIC to have been scouted at @MOVEITSHOW with my best gal @Maddie_Painx ?? thank you @WilkesAcademy !! 
",1,26
"Grab your brain mittens twitter I'm super ecstatic to be at work.. ?? 
",0,27
"Pakistan players ecstatic after PCB credited 20 rupees bonus in their accounts #IndvsPak 
",1,28
"Watching Titanic on Valentine's Day while eating a crap ton of chocolate... I'm just... So ecstatic. Can't you tell?? 
",0,29
"Ecstatic to be holding the first print copy of Wind In Your Sails. #biz #author 
",1,30
"Hot Steamy Nights and Elated Feelings Make For A Great Valentine Evening! Sensual Thoughts @ 
",1,31
"Oprah Winfrey is elated about a novel she recently finished reading #read 
",1,32
"@iNationalSRKian good 2 know dat! am elated in fact to know that! ctually no SRKians are-we are too good as a family! 
",1,33
"@planet_anita Dear Anita - My Finest Regard To You As Far As 100% Total Elated Valentine's Day MMXV In The Florida @ 
",1,34
"Picture Frame #Distressed Red Black #Sentiment How Sweet It Is To Be #Loved By You #etsy 
",1,35
"RT @AtBestIsKorny: Elated to see ""Burroughs: The Movie"" @HowardBrookner DVD is forthcoming via @Criterion 
",0,36
"Logarusic elated with win @OfficialGMFC @macykiss 
",1,37
"This is my Valentine's from 1 of my nephews. I am elated; sometimes the little things are the biggest & best things! 
",1,38
"Nigga kilt that shit I bet 
",1,39
"I can't even tell you guys how much I love these covers ? @Melissa_Landers #invaded #alienated #prettycovers 
",1,40
"RT @BlkHistStudies: One Love & Unity! 
",1,41
"Vote #Conservative, the traditional party that elevated gay partnerships to marriage in law & sold its soul. 
",1,42
"RT @designboom: this guest house by korean architect moon hoon features an elevated terrace... 
",1,43
"Quantum of the seas under dramatic clouds. Notice the empty pool-- too cold and windy today. Tomorrow Florida. 
",0,44
"Buscando um novo rumo que fa?a sentido nesse mundo louco .. ? #peace #love #cut #cabofrio #rj #022 
",1,45
"@Melissa_Landers look what came in the mail today. I'm so excited to get started. Yay. #alienated 
",1,46
"RT @polynminion: Dean probably thought Cas was really cute with his upside down FBI badge. #PROFOUNDLOVE 
",1,47
"#HappyValentinesDay to all you followers (whether your #heart is contempt or empty) 
",1,48
"THIS remIX MAKES ME DIZZY 
",1,49
"#depression #anxiety #worry #grief #anger #fear #hopeless #doubt #shame #guilt 
",0,50
"RT @octuse: I have shipped for over 5 years and it wasn't until 2 years ago I fell hard for these two. #PROFOUNDLOVE 
",0,51
"RT @MalikaBanks: this 365 shit ? my boyfriend better than yours ?? @ItsBeenA_Drill love youuuuu ??? 
",1,52
"RT @femaIes: the matte black audi r8 is beautiful ? 
",1,53
"""@_MusicForLovee: Happy Valentines Day Bby ???? ??????? 
",1,54
"RT @FreddyAmazin: i love tumblr ?? 
",1,55
"RT @verge: The NSA just captured the evil side of Valentine's Day in this perfect tweet 
",1,56
"@NCMUSICOFFICIAL you made my grans day!! #Delighted ?? 
",1,57
