id,text,labels
1,You should go HIV/AIDS testing!!,1
2,Ow!!!emmm!!!geee!! #weakness #DecemberWish,1
3,My #DecemberWish-es.. Alam nyo na ah? Hahaha,1
4,Just stuck my finger with my machine&#39;s needle. Band-aids are all the way upstairs so I improvised. #dedication,0
5,Seriously? They would make this at the coffee shop right by the police station #baconlattes #policedrink #smartbusiness,1
6,like if you are against abortion. RIP all babies who were killed because we have the &#34;right to chose&#34; #sowrong #sosad #ripbabies #prolife #aniabortion #stopthis,0
7,twitpicfbapp:photo,1
8,twitpicfbapp:photo,1
9,twitpicfbapp:photo,1
10,Cute daddy daughter  #president #obama,1
11,It&#39;s going down 2nite !!!! My bday celebration continues...... #Part1 was LURE... #Part2 was Roxbury now for #Part3 2nite @ club Premiere 1710 Las Palmas off Hollywood &amp; Las Palmas wit the #SupremeTeam @GREENLIGHTENTLA @JMAGGETTE @ADIB110 @GARYBLACKOUT @THESUPREMETEAM1 #turnupneverturndown #BentleyBoyz #RollieBoyz #jesuspiece #BirthdaySwag,0
12,My handsome nephew Cairo!! #cairo,1
13,@nymediacares #hurricanesandy #reliefeffort #statenisland  #volunteer,1
14,Last nights amazing benefit for the #StatenIsland victims of #hurricanesandy thank you to everyone who came out and donated and to @miamoretti and @djskribble for major sets. We raised almost $50k for the Bini fund! #thankyou #helpsi #yachtparty #westvillage #nyc #givingback #dance #appreciate,1
15,I&#39;m falling In love with u &lt;3 | Created with the Free @Versagram App!  #vbf1 #blackfriday #shopping #leftovers #text #versagram #versalove♥,1
16,Taping Shaniqua&#39;s  windows for #hurricanesandy #embarrassyourbestfriendday nicole ardelean :),1
17,Loved this dress by Zimmerman from last night!,1
18,Jenna Susson Abortion Doctor 💉,0
19,This all washed up in the backyard #hurricanesandy,0
20,I bought a lot on #BlackFriday but this is definitely high on my list of #WINNING!!,1
21,#DecemberWish,1
22,Ouch mr police man,0
23,Diet police are on annual leave,1
24,Ahhh Manny is in my religion book! ⚾ #lovehim,1
25,You&#39;re a whole different person when you&#39;re afraid.,0
26,My #DecemberWish 💛💜❤,1
27,Before #HurricaneSandy #oceangate,1
28,Twins at work! 💞 @faithpierce #rva #loft #anntaylorloft #blackfriday #leopard,1
29,twitpicfbapp:photo,0
30,Beautiful Windy Warm December 2nd. #globalwarming :),1
31,twitpicfbapp:photo,1
32,#decemberwish lots of love with @bernadetteputri 😘,1
33,The Police man who captured my heart ;)) #instalove,1
34,Mad as hell because I just left religion class &amp; my teacher Sister Barbara does NOT know how to fucking act #smdsaviour,0
35,Colts cheerleaders shave heads for coach Pagano. #chuckstrong #BUFvsIND,1
36,Panama ;) #globalwarming,1
37,Did you see me on @todayshow ?! ;) #globalwarming,1
38,twitpicfbapp:photo,1
39,twitpicfbapp:photo,1
40,twitpicfbapp:photo,1
41,empty,1
42,Le commissariat de police de Flic en Flac: un décor d&#39;opérette! #Mauritius,0
43,Daqui a pouco tem #NFL com #Giants vs #Packers na #espn... Go go New York Giants... #GoGiants #nygiants #newyorkgiants #football #usa #newyork #packersvsgiants #gogiantsgo #tonight #greenbaypackers #pack #sundaynightfootball #letsgo #touchdown,1
44,#temple #singapore #honeymoon #religion #architecture #building,1
45,Doakan kami ya Santa Bunda Allah. #virginMary #religion #cave #pray #trip #yogyakarta,1
46,twitpicfbapp:photo,0
47,I luv my fans @todayshow #globalwarming,1
48,#religion #god #train #children #faith #flowers #art #drawing  brucemcc.tumblr .com,0
49,What&#39;s a tour of L.A. without a police raid ...,0
50,This election has got me feelin crazy!,0
51,twitpicfbapp:photo,1
52,"Went to see my friend&#39;s JRock show iluminate,you could see them in AGT",1
53,At the pyramids,1
54,Yep more orange at Zimmerman Westfield CBD,1
55,Our first sushi - cairo e joe alejandro,1
56,twitpicfbapp:photo,1
57,Indo pra portugal!#championsleague,1
58,Sending my cash to Africa before Obama start raising taxes on the rich biiiiitch!!!!,1
59,Spongebob sandy,0
60,Love my new #iPad wallpaper | #skype #instagram #linkedin #championsleague #foursquare #facebook #twitter #chrome #ligtv #imdb #TED #unitednations #UN,1
61,Had to wait a million years to get into Hermès 😁 #protest #peta #nofur #blackfriday #southcoastplaza #hermès #iphone #iphone4s,0
62,twitpicfbapp:photo,1
63,#NW #KaleidoscopeOnIce Love this! Kurt Browning is showing out! Love the cause too....Support for cancer patients and funding cancer research.,1
64,Mucha fuerza para hoy @javigarcia_6 !  Go @mcfcofficial  #manchestercity  #championsleague  #javigarcia  #14,0
65,#anti #abortion #babies,1
66,Giants Game! #newyork #giants #gmen #nfl #football #sports #tailgating #beer,1
67,My Plate In Clay Class! #MarriageEquality #gaymarriage #lesbians #gays,1
68,Such a good day. I can&#39;t wait to go back. #hurricanesandy #breezypoint #queens,1
69,Iron bowl weekend turnt TF up #Designer that&#39;s swag😎 #True to my religion ♎,1
70,#matthias #church #Budapest #buda #pest #hungary #europe #magyar #architecture #religion #matyas #templom,1
71,ASI se ven los partidos del Madrid! @mercideherrera #wine #realmadrid #halamadrid #championsleague,1
72,"I think pigs should join th Police, they can run fast, have a nasty nip and when they get old,  taste nice in a sandwich!",0
73,twitpicfbapp:photo,1
74,twitpicfbapp:photo,1
75,twitpicfbapp:photo,1
76,Black Friday &#34;shopping&#34; can wear you out... #daviecakes #blackfriday #passedout @helloitsjared,1
77,Vamos! #championsleague #realmadrid #ajax,1
78,"Fuck you sandy, #17joan still stands",0
79,signed a petition against abortion,1
80,Ugg boots .. true religion pants .. Hollister sweater .. Levi Jean jacket ..,1
81,empty,1
82,#police #cars #instagood #usa #kuwait #ksa #egypt #gcc #art #oman #me #beach #golf #qatar #bahrain #البحرين #uk,1
83,twitpicfbapp:photo,1
84,twitpicfbapp:photo,1
85,twitpicfbapp:photo,1
86,twitpicfbapp:photo,1
87,twitpicfbapp:photo,1
88,Show exhibition to Election Miss Mons and Mister hainaut,1
89,My baby ...,1
90,#Decemberwish Be happy.,1
91,Photo documentary on Hurricane Sandy is up. www.emileerosephotography.com/blog #dsny #hurricanesandy,0
92,"Pray for my friend Jocelyn Arias, who has cancer. She&#39;s 5 years old ❤🙏💖",1
93,#picstitch lets go #gmen we got this tonight..packers going down! Giants fans stand up!! #newyork #giants #football #nfl #gmen #bigblue #allday #wegotthis #ig,1
94,Election day!,1
95,This was ridiculous #blackfriday #line #shopping,0
96,6.8.2 Records Inc. on #Facebook @682_Records_Inc on #Twitter.,0
97,twitpicfbapp:photo,1
98,twitpicfbapp:photo,1
99,Good afternoon 😁 feeling to good; True religion kind of day 👌,1
100,"Mommy gave me my pretty face, daddy gave me my political claws. #obama #limbaugh #foxNews #lem8392",1
101,#december#decemberwish #goals#Christmas💗 🎄🎅💝💝🎉🎁🎊🎈🎇🔮,1
102,Some พรรค.. Some ประธาน.. #panorama #election #studentcouncil,1
103,Looks like @FlipBoard cornered the market on post-Thanksgiving election ads.,1
104,"#championsleague :Fans of galatasaraysk, don’t miss the chance to vote for Burak Yılmaz and get him in the http://t.co/KiV0B55y",0
105,This shit only happens on a #blackfriday,1
106,#picstitch I swear this nigga me nd pop bumped into at the 7/11 look nd sound jus like Barack Obama! On everything I&#39;m not playin,1
107,#wiggin out 😜😜,1
108,twitpicfbapp:photo,1
109,twitpicfbapp:photo,0
110,Eu #Android #Me #Androidify,1
111,#MetLife #Stadium #NewYork #Giants #NYG #GB #GBvsNYG,1
112,"&#34;Smiles are like band-aids. They cover up the pain, but it still hurts.&#34;",1
113,twitpicfbapp:photo,1
114,NJ please cross post! #founddog #hurricanesandy #nj #camden,1
115,#AFetusIsAHuman #antiabortion #allWomen #Abolionist #abortion #AbolishHumanAbortion #babies #ChildrenAreABlessing #EndAbortion #Fetus #Love #Miracles #ProLife #StopAbortion #SpeakLife #SaveOurBabies #NationalRightToLife #40díasporlavida #latinobaby #latinababy #40daysforlifeLR #40daysforlife #Prayer #BlackGenocide #blackbaby #whitebabies #BlackWomen #whiteWomen #LatinaWomen #ArkansasRightToLife,1
116,#LamarOdom #NewYork #LAClippers #thursdaynovember222012 #game,1
117,هنا يشتري البسطاء مستلزمات المنزل - القاهرة Cairo - shops for  low-income Egyptians,0
118,#nyc #ny #newyork #newyorker #newyorkers #loveny #lovenyc #nyclover #nycforever #instalove #instanow #instaforever #instanyc #america #usa #us #perfection #nycdreamer #nyciloveyou #ilovenyc,1
119,empty,1
120,#egypt #cairo #tahrir #revolution,1
121,the po-po and ambulance. 🚓🚑 never a boring day at my job. #work #police #ambulance,0
122,Sandy checking out the 28th Terra Nova Scout Group meeting @pccrovers,1
123,twitpicfbapp:photo,1
124,twitpicfbapp:photo,1
125,Finna go to Raising Canes! Im starving | Created with the Free @Versagram App!  #vbf1 #blackfriday #shopping #leftovers #text #versagram #versalove♥,1
126,Hurricane Sandy relief show. Join us! @hotelcafe #rockdrive #friends #help #hurricanesandy,1
127,The DIVA @dayofthediva on a poster for a gig at Eagle Manchester for World AIDS Day. @katherineellis1,1
128,#bird #seaguls #malibu in #november #globalwarming,1
129,twitpicfbapp:photo,1
130,White Obama. 🇺🇸,1
131,#Obama approves #WhoDat Love,1
132,Now this is what pizza should look like #pizza #food #foodporn #goodness #vodka #grandma #angelinas #newyorkpizza,1
133,twitpicfbapp:photo,1
134,empty,1
135,The key to rocking it this early in the morning is staying up all night! ;) @todayshow #yolo #globalwarming,1
136,"While shooting my new webisodes, we just got stopped by undercover police.... Do we look suspicious to you?! 😱😨😲 @jaredbrady @heavenkimchi",0
137,"Happening now! Come on down, Dank and the Funksticks are on stage! #sandy #benefit",1
138,Go #Argos Go! workin&#39; the social media beat for Grey Cup 2012,1
